id,first_name,last_name,web_name,position,team,expected_goals,expected_assists,news
104.0,Ethan,Pinnock,Pinnock,2.0,4.0,0.23,0.04,
105.0,Mads,Roerslev Rasmussen,Roerslev,2.0,4.0,0.01,0.18,
106.0,Kevin,Schade,Schade,3.0,4.0,0.36,0.03,
107.0,Igor Thiago,Nascimento Rodrigues,Thiago,4.0,4.0,0.0,0.0,Knee injury - Expected back 29 Dec
108.0,Ivan,Toney,Toney,4.0,4.0,0.0,0.0,Transferred to Al-Ahli
109.0,Hákon,Valdimarsson,Valdimarsson,1.0,4.0,0.0,0.0,
110.0,Yoane,Wissa,Wissa,4.0,4.0,2.43,0.27,Ankle injury - Expected back 23 Nov
111.0,Yehor,Yarmoliuk,Yarmoliuk,3.0,4.0,0.04,0.0,
112.0,Mathias,Jorgensen,Zanka,2.0,4.0,0.0,0.0,Joined Anderlecht
314.0,Fábio,Freitas Gouveia Carvalho,Carvalho,3.0,4.0,0.08,0.01,
338.0,Sepp,van den Berg,Van den Berg,2.0,4.0,0.0,0.01,
602.0,Ryan,Trevitt,Trevitt,3.0,4.0,0.0,0.0,
634.0,Gustavo,Nunes Fernandes Gomes,G.Nunes,3.0,4.0,0.0,0.0,Back injury - Expected back 19 Oct
649.0,Jayden,Meghoma,Meghoma,2.0,4.0,0.0,0.0,
113.0,Simon,Adingra,Adingra,3.0,5.0,0.29,0.63,
114.0,Benicio,Baker-Boaitey,Baker-Boaitey,3.0,5.0,0.0,0.0,Loaned to Port Vale
115.0,Carlos,Baleba,Baleba,3.0,5.0,0.38,0.07,
116.0,Valentín,Barco,Barco,2.0,5.0,0.0,0.0,Loaned to Sevilla
118.0,Amario,Cozier-Duberry,Cozier-Duberry,3.0,5.0,0.0,0.0,Loaned to Blackburn Rovers
119.0,Mahmoud,Dahoud,Dahoud,3.0,5.0,0.0,0.0,Transferred to Eintracht Frankfurt
120.0,Lewis,Dunk,Dunk,2.0,5.0,0.16,0.25,
121.0,Julio,Enciso,Enciso,3.0,5.0,0.08,0.12,
